"Tanggal","Nilai Ekspor Migas"
"2000-01-31","1144.6"
"2000-02-29","1100.4"
"2000-03-31","1104"
"2000-04-30","987.6"
"2000-05-31","1004.6"
"2000-06-30","1185.8"
"2000-07-31","1157.5"
"2000-08-31","1310.8"
"2000-09-30","1339.5"
"2000-10-31","1399.1"
"2000-11-30","1320.3"
"2000-12-31","1312.4"
"2001-01-31","1215"
"2001-02-28","1106.1"
"2001-03-31","1360.8"
"2001-04-30","1074.3"
"2001-05-31","1150.1"
"2001-06-30","1088.3"
"2001-07-31","1083.5"
"2001-08-31","1010.5"
"2001-09-30","967.6"
"2001-10-31","895.1"
"2001-11-30","818.8"
"2001-12-31","866.2"
"2002-01-31","865.3"
"2002-02-28","812.4"
"2002-03-31","988"
"2002-04-30","1020.8"
"2002-05-31","989.9"
"2002-06-30","967.4"
"2002-07-31","959.8"
"2002-08-31","1016.4"
"2002-09-30","1072.7"
"2002-10-31","1145.5"
"2002-11-30","1097.2"
"2002-12-31","1177.2"
"2003-01-31","1197.5"
"2003-02-28","1259.5"
"2003-03-31","1296.3"
"2003-04-30","1125.8"
"2003-05-31","1004.3"
"2003-06-30","1093.3"
"2003-07-31","999.1"
"2003-08-31","1254.5"
"2003-09-30","1160.6"
"2003-10-31","1028.1"
"2003-11-30","1062.3"
"2003-12-31","1170"
"2004-01-31","1200.5"
"2004-02-29","1141.2"
"2004-03-31","1198.6"
"2004-04-30","1181.7"
"2004-05-31","1358.8"
"2004-06-30","1352.1"
"2004-07-31","1254.7"
"2004-08-31","1325.5"
"2004-09-30","1473.7"
"2004-10-31","1426.3"
"2004-11-30","1392"
"2004-12-31","1340.2"
"2005-01-31","1224.6"
"2005-02-28","1342"
"2005-03-31","1774.7"
"2005-04-30","1569.1"
"2005-05-31","1403.6"
"2005-06-30","1516.7"
"2005-07-31","1624.7"
"2005-08-31","1797.8"
"2005-09-30","1719.8"
"2005-10-31","1819.7"
"2005-11-30","1613.8"
"2005-12-31","1825"
"2006-01-31","1824.8"
"2006-02-28","1637.3"
"2006-03-31","1687.5"
"2006-04-30","1692"
"2006-05-31","1789.3"
"2006-06-30","1782.9"
"2006-07-31","2099"
"2006-08-31","1852.4"
"2006-09-30","1601.1"
"2006-10-31","1597.5"
"2006-11-30","1750.4"
"2006-12-31","1895.2"
"2007-01-31","1521.1"
"2007-02-28","1468.5"
"2007-03-31","1574.7"
"2007-04-30","1536.6"
"2007-05-31","1792"
"2007-06-30","1826.8"
"2007-07-31","1826.4"
"2007-08-31","1855.3"
"2007-09-30","2078.2"
"2007-10-31","1985"
"2007-11-30","2107"
"2007-12-31","2517"
"2008-01-31","2243.9"
"2008-02-29","2381.1"
"2008-03-31","2767.2"
"2008-04-30","2481.2"
"2008-05-31","3225.5"
"2008-06-30","2995"
"2008-07-31","2882.5"
"2008-08-31","2956.3"
"2008-09-30","2455.5"
"2008-10-31","1885.5"
