Tanggal,Nilai Ekspor Migas
1/1/2000,1144.6
2/1/2000,1100.4
3/1/2000,1104
4/1/2000,987.6
5/1/2000,1004.6
6/1/2000,1185.8
7/1/2000,1157.5
8/1/2000,1310.8
9/1/2000,1339.5
10/1/2000,1399.1
11/1/2000,1320.3
12/1/2000,1312.4
1/1/2001,1215
2/1/2001,1106.1
3/1/2001,1360.8
4/1/2001,1074.3
5/1/2001,1150.1
6/1/2001,1088.3
7/1/2001,1083.5
8/1/2001,1010.5
9/1/2001,967.6
10/1/2001,895.1
11/1/2001,818.8
12/1/2001,866.2
1/1/2002,865.3
2/1/2002,812.4
3/1/2002,988
4/1/2002,1020.8
5/1/2002,989.9
6/1/2002,967.4
7/1/2002,959.8
8/1/2002,1016.4
9/1/2002,1072.7
10/1/2002,1145.5
11/1/2002,1097.2
12/1/2002,1177.2
1/1/2003,1197.5
2/1/2003,1259.5
3/1/2003,1296.3
4/1/2003,1125.8
5/1/2003,1004.3
6/1/2003,1093.3
7/1/2003,999.1
8/1/2003,1254.5
9/1/2003,1160.6
10/1/2003,1028.1
11/1/2003,1062.3
12/1/2003,1170
1/1/2004,1200.5
2/1/2004,1141.2
3/1/2004,1198.6
4/1/2004,1181.7
5/1/2004,1358.8
6/1/2004,1352.1
7/1/2004,1254.7
8/1/2004,1325.5
9/1/2004,1473.7
10/1/2004,1426.3
11/1/2004,1392
12/1/2004,1340.2
1/1/2005,1224.6
2/1/2005,1342
3/1/2005,1774.7
4/1/2005,1569.1
5/1/2005,1403.6
6/1/2005,1516.7
7/1/2005,1624.7
8/1/2005,1797.8
9/1/2005,1719.8
10/1/2005,1819.7
11/1/2005,1613.8
12/1/2005,1825
1/1/2006,1824.8
2/1/2006,1637.3
3/1/2006,1687.5
4/1/2006,1692
5/1/2006,1789.3
6/1/2006,1782.9
7/1/2006,2099
8/1/2006,1852.4
9/1/2006,1601.1
10/1/2006,1597.5
11/1/2006,1750.4
12/1/2006,1895.2
1/1/2007,1521.1
2/1/2007,1468.5
3/1/2007,1574.7
4/1/2007,1536.6
5/1/2007,1792
6/1/2007,1826.8
7/1/2007,1826.4
8/1/2007,1855.3
9/1/2007,2078.2
10/1/2007,1985
11/1/2007,2107
12/1/2007,2517
1/1/2008,2243.9
2/1/2008,2381.1
3/1/2008,2767.2
4/1/2008,2481.2
5/1/2008,3225.5
6/1/2008,2995
7/1/2008,2882.5
8/1/2008,2956.3
9/1/2008,2455.5
10/1/2008,1885.5
11/1/2008,1445.5
12/1/2008,1407
1/1/2009,1025.5
2/1/2009,1024.5
3/1/2009,1281.6
4/1/2009,1253.9
5/1/2009,1136.7
6/1/2009,1452.1
7/1/2009,1488.9
8/1/2009,1653.6
9/1/2009,1749.7
10/1/2009,2111.5
11/1/2009,2337.4
12/1/2009,2502.9
1/1/2010,2344.9
2/1/2010,2175.3
3/1/2010,2168.6
4/1/2010,2204.6
5/1/2010,2369.3
6/1/2010,1901.5
7/1/2010,1881.4
8/1/2010,1993.5
9/1/2010,2082.9
10/1/2010,2841.9
11/1/2010,2816.4
12/1/2010,3259.3
1/1/2011,2615
2/1/2011,2612.5
3/1/2011,3061.8
4/1/2011,3628.3
5/1/2011,4072.8
6/1/2011,3591
7/1/2011,3802.5
8/1/2011,4091.6
9/1/2011,3931
10/1/2011,3062.7
11/1/2011,3522.8
12/1/2011,3485
1/1/2012,3142.6
2/1/2012,3355.5
3/1/2012,3486.1
4/1/2012,3560.7
5/1/2012,3724.9
6/1/2012,2899.7
7/1/2012,2919.7
8/1/2012,2783
9/1/2012,2770.5
10/1/2012,2650.6
11/1/2012,2717.1
12/1/2012,2966.9
1/1/2013,2653.7
2/1/2013,2567.6
3/1/2013,2928.3
4/1/2013,2452.1
5/1/2013,2926.2
6/1/2013,2800.4
7/1/2013,2282.6
8/1/2013,2720.5
9/1/2013,2414.7
10/1/2013,2715.2
11/1/2013,2766.8
12/1/2013,3405.1
1/1/2014,2501.7
2/1/2014,2729.1
3/1/2014,2641.3
4/1/2014,2651.4
5/1/2014,2375.7
6/1/2014,2786
7/1/2014,2496.3
8/1/2014,2598.2
9/1/2014,2622.6
10/1/2014,2413.2
11/1/2014,2035.4
12/1/2014,2168
1/1/2015,1959
2/1/2015,1753.4
3/1/2015,1988.9
4/1/2015,1458.2
5/1/2015,1392.7
6/1/2015,1439.9
7/1/2015,1421.8
8/1/2015,1530.9
9/1/2015,1453.6
10/1/2015,1379.6
11/1/2015,1497
12/1/2015,1299.5
1/1/2016,1108
2/1/2016,1113.3
3/1/2016,1239.3
4/1/2016,891.7
5/1/2016,958
6/1/2016,1187.4
7/1/2016,998.6
8/1/2016,1138.6
9/1/2016,1061.5
10/1/2016,1055.9
11/1/2016,1103
12/1/2016,1250.2
1/1/2017,1278.6
2/1/2017,1208.6
3/1/2017,1516.2
4/1/2017,1036.2
5/1/2017,1294.4
6/1/2017,1276.3
7/1/2017,1165
8/1/2017,1233.6
9/1/2017,1455
10/1/2017,1488.2
11/1/2017,1295.8
12/1/2017,1496.5
1/1/2018,1342.7
2/1/2018,1388.8
3/1/2018,1256.1
4/1/2018,1178.8
5/1/2018,1633.1
6/1/2018,1646.7
7/1/2018,1416.5
8/1/2018,1423.7
9/1/2018,1320.2
10/1/2018,1545.3
11/1/2018,1312.9
12/1/2018,1706.8
1/1/2019,1131.3
2/1/2019,1050.8
3/1/2019,1077.4
4/1/2019,688.1
5/1/2019,1054.2
6/1/2019,714.1
7/1/2019,1400.5
8/1/2019,842.9
9/1/2019,803
10/1/2019,860
11/1/2019,1033.7
12/1/2019,1133.3
1/1/2020,815.3
2/1/2020,805.2
3/1/2020,617.4
4/1/2020,562.1
5/1/2020,560.9
6/1/2020,567.4
7/1/2020,660.4
8/1/2020,599.6
9/1/2020,667.3
10/1/2020,614.5
11/1/2020,762.2
12/1/2020,1018.8
1/1/2021,883.8
2/1/2021,860.6
3/1/2021,951.5
4/1/2021,941.7
5/1/2021,940.6
6/1/2021,1239.3
7/1/2021,978.8
8/1/2021,1044.6
9/1/2021,934.8
10/1/2021,1064.3
11/1/2021,1339.5
12/1/2021,1068
1/1/2022,903.5
2/1/2022,1029.6
3/1/2022,1493.3
4/1/2022,1466.6
5/1/2022,1498.1
6/1/2022,1551.8
7/1/2022,1287.6
8/1/2022,1662.9
9/1/2022,1259
10/1/2022,1286.3
11/1/2022,1101.9
12/1/2022,1457.8
1/1/2023,1487.9
2/1/2023,1186.5
3/1/2023,1338.2
4/1/2023,1258.7
5/1/2023,1308.6
6/1/2023,1259.7
7/1/2023,1226.8
8/1/2023,1318.8
9/1/2023,1405.1
10/1/2023,1370.4
11/1/2023,1282.9
12/1/2023,1479
