"Tanggal","Nilai Ekspor Migas (Peramalan)"
"2024-01-01 00:00:00","1436.8413085938"
"2024-02-01 00:00:00","1467.08984375"
"2024-03-01 00:00:00","1493.2673339844"
"2024-04-01 00:00:00","1516.8178710938"
"2024-05-01 00:00:00","1539.0958251953"
"2024-06-01 00:00:00","1560.5307617188"
"2024-07-01 00:00:00","1581.4936523438"
"2024-08-01 00:00:00","1602.1110839844"
"2024-09-01 00:00:00","1622.4246826172"
"2024-10-01 00:00:00","1642.5076904297"
"2024-11-01 00:00:00","1662.3875732422"
"2024-12-01 00:00:00","1681.9909667969"
